Descrição;Medida Caseira;Calorias;Grupo ID
Água de coco verde;1 copo de 240 ml;62;9
Café com açúcar;1 xícara de 50 ml;33;9
Café sem açúcar;1 xícara de 40 ml;3;9
Caldo de cana;1 copo de 240 ml;202;9
Suco de abacaxi natural;1 copo de 240 ml;100;3
Suco de acerola natural;1 copo de 240 ml;36;3
Suco de maçã natural;1 copo de 240 ml;154;3
Suco de manga natural;1 copo de 240 ml;109;3
Suco de melão natural;1 copo de 240 ml;60;3
Suco de milho verde natural;1 copo de 240 ml;271;3
Suco de morango natural;1 copo de 240 ml;39;3
Suco de pêssego natural;1 copo de 240 ml;77;3
Suco de tomate fresco;1 copo de 240 ml;27;3
Aguardente;½ copo - 120 ml;277;9
Cerveja ;1 lata de 350 ml;147;9
Cerveja light;1 lata de 360 ml;148;9
Champanhe ;1 taça de 125 ml;85;9
Chope;1 tulipa de 300 ml;180;9
Uísque ;1 dose de 100 ml;240;9
Vinho branco doce;1 taça de 125 ml;178;9
Vinho branco seco;1 taça de 125 ml;107;9
Vinho Rosé;1 taça de 125 ml;93;9
Vinho tinto seco;1 taça de 125 ml;107;9
Vodka ;1 cálice de 20 ml;48;9
Coca-Cola;1 lata de 350 ml;137;8
Coca-Cola Light;1 lata de 350 ;1.5;8
Fanta ;1 lata de 350 ml;189;8
Fanta Diet;1 lata de 350 ml;15;8
Gatorate - todos os sabores;1 frasco de 473 ml;109;8
Guaraná;1 copo de 240 ml;75;8
Guaraná diet;1 lata de 350 ml;4;8
Sport Drink limão;2 colheres de sopa (20g);51;8
Sprite;1 lata de 350 ml;115;8
Sprite diet limão;1 lata de 350 ml;5;8
Alcatra assada;2 fatias (150g);301;5
Alcatra frita;2 fatias (100g);235;5
Almôndega caseira de carne;1 unidade (30g);61;5
Almôndega de frango;1 unidade (25g);54;5
Almôndega de peru;1 unidade (25g);46;5
Antecoxa de frango assada; 2 unidades (100g);109;5
Baby beef;1 unidade (100g);120;5
Bacon fatiado;1 fatia (10g);54;5
Bacon frito;2 cubos (30g);198;5
Bisteca de porco;1 unidade (100g);337;5
Costeleta de porco;2 unidades (100g);483;5
Coxa de frango;1 unidade (100g);144;5
Coxa de frango assada c/pele;1 unidade (100g);110;5
Coxa de frango assada s/pele;1 unidade (100g);98;5
Coxa de frango cozida;1 unidade (100g);120;5
Cupim;2 fatias (150g);375;5
Fígado de boi frito;1 fatia (100g);210;5
Fígado de galinha;1 colher de sopa (25g);35;5
Filé de frango; 2 filés (100g);101;5
Filé mignon;1 fatia (100g);140;5
Hamburger bovina;1 unidade (56g);116;5
Hamburger calabresa;1 unidade (56g);149;5
Hamburger de chester;1 unidade (56g);105;5
Hamburger de frango;1 unidade (96g);179;5
Lagarto de boi assado;3 fatias (100g);170;5
Leitão;2 pedaços (170g);308;5
Língua de boi cozida;2 pedaços (100g);287;5
Lombo assado;1 fatia (100g);272;5
Maminha;1 fatia (100g);141;5
Miolo de coxão mole;1 filé (100g);120;5
Moela de galinha;1 pires (100g);78;5
Músculo cozido;3 pedaços (100g);180;5
Patinho de boi assado;3 fatias (100g);200;5
Peito de frango s/pele;1 filé (100g);100;5
Pernil de porco assado;1 fatias (100g);196;5
Perú;2 filés (100g);155;5
Picanha;1 fatia (100g);287;5
Rã;1 unidade (200g);128;5
Rabo de porco salgado;3 unidades (100g);426;5
Rosbife;1 fatia (50g);83;5
Tender;4 fatias (100g);210;5
Apresuntado;1 fatia (15g);22;5
Blanquet de peru;1 fatia (10g);13;5
Copa fatiada maturada;1 fatia (6g);22;5
Lingüiça calabresa;1 porção (100g);300;5
Lingüiça de frango;1 porção (100g);166;5
Lingüiça de peru defumada;1 porção (100g);148;5
Lingüiça toscana;1 porção (100g);255;5
Lombo canadense;1 fatia (15g);21;5
Lombo defumado;1 fatia (15g);29;5
Morcela;1 porção (100g);258;5
Mortadela;1 fatia fina (15g);41;5
Mortadela de frango;1 fatia fina (15g);20;5
Paio;1 unidade (100g);314;5
Peito de peru defumado;1 fatia (15g);14;5
Presunto cozido;1 fatia (15g);18;5
Presunto cru;1 fatia (15g);54;5
Salame italiano;1 fatia pequena (2.5g);10;5
Salaminho;1 fatia pequena (2.5g);10;5
Salsinha;1 unidade (40g);120;5
Salsicha light de chester;1 unidade (40g);64;5
Salsicha Hot Dog;1 unidade (50g);115;5
Salsichão;1 fatia (10g);30;5
Anchova cozida;1 filé (100g);118;5
Anchova à milanesa;1 filé (100g);210;5
Atum cru;1 posta (100g);146;5
Bacalhau cozido;1 porção (100g);100;5
Cação cozido;1 posta (100g);129;5
Camarão cozido;1 porção (100g);82;5
Camarão frito;1 porção (100g);310;5
Casquinha de Caranguejo;1 unidade;250;5
Casquinha de Siri;1 unidade (200g);413;5
Caviar;1 colher de chá (10g);24;5
Dourado;1 posta (100g);88;5
Haddock cozido;1 filé (100g);100;5
Kani-Kama;1 stick (16g);13;5
Lagosta cozida s/ molho;1 unidade (200g);196;5
Linguado assado ou grelhado;1 filé (100g);90;5
Lula cozida;1 pires de chá (100g);93;5
Lula frita empanada;1 pires de chá (100g);373;5
Mariscos cozidos;1 xícara de chá (100g);96;5
Mexilhão cozido;½ xícara de chá (100g);79;5
Namorado cozido;1 filé (100g);122;5
Ostras;3 unidades (100g);81;5
Ovas de peixe cruas;1 porção (100g);125;5
Pescada cozida;1 filé (100g);97;5
Pintado grelhado;1 posta (200g);208;5
Polvo cru;1 xícara de chá (100g);64;5
Robalo;1 posta (100g);72;5
Salmão assado ou grelhado;1 posta (100g);292;5
Salmão cru;1 filé (100g);211;5
Sardinha grelhada;1 unidade (33g);97;5
Sardinha em óleo comestível;4 unidades (100g);174;5
